MinX,MaxX,MinY,MaxY,MinZ,MaxZ
20.675610467253648,157.4480007889023,40.348484627161554,85.52860805735256,277202.37731124373,489842.72463617084
-48.551279489010426,175.04109390970046,4.074926235617681,70.13820654192614,915640.8209907358,957571.3736488133
-69.24960660452284,-63.91223017425094,53.6826460179019,75.88409578466784,585505.076783362,665850.0501355795
-148.1575722474886,-78.9170557438148,53.115791192055724,67.36248162340021,107933.34699643664,724870.7426125212
118.15247085979331,121.00868103779078,58.531425661586866,81.4725706301062,979592.1942969266,983152.1407692925
39.47245853565616,164.55083039086117,63.079766317956455,84.35229171661695,812457.8268603251,908994.6305622314
16.845508851600215,133.1457512192555,21.023505989654254,76.4763377109678,763644.4267863098,999934.0913175697
-32.18379404319995,129.95255158085467,39.136584755321365,80.32103106434398,674738.8204825746,893019.9852810423
93.32544659677632,148.28704062106465,-29.29436168145439,66.3437120597889,870154.331121873,902865.7920359658
-27.99049527602051,28.97751787808528,61.70523895219938,79.89289440472206,785696.6285464946,944943.7012437718
-53.30798750052513,161.2440336922781,-64.04072544330846,6.5352239944899395,89935.21801463723,386028.0540379555
-39.795158262056304,-29.33847880683389,-12.835907477361488,11.767606457014416,866138.797044012,895165.50660438
157.38246254269978,179.3514110617586,-55.96675615055241,28.548525601643206,314144.8944290612,756325.2155007729
153.97982212986688,157.01657427673976,-14.958137993951638,46.79869916669833,757708.0805852646,909988.5944883781
106.93428479791481,170.3757825981439,52.14629209573178,62.524839845069586,220415.03512177186,415878.8372404105
123.15041587977811,155.5163085652678,-69.76697372491607,66.15919157464505,384081.75191342854,691468.5318919362
172.38363574721484,175.71876298592747,-30.158662611794583,62.24916713933794,258692.07362468928,514669.38916454755
-140.4055514730028,129.78234899134281,-76.87303349930114,-64.00871079169858,945168.6007371197,981532.3111171265
163.9132683120206,164.61261833114892,7.008707315513433,51.95910412050033,505133.2482998514,996040.3446765373
-151.03696883612133,45.60798134609408,52.64230659421128,65.61414111372487,380781.3949765452,440737.45926222426
38.678243218417805,179.69645898517382,-4.987667244099086,72.70747947689179,387685.9091771564,963548.7711563248
-75.56623790340926,121.1300272314172,6.206079428141479,85.64535933458095,651382.7389417385,875869.5420695803
-42.70674173572837,-9.887144123746467,35.231381712774436,63.78542299455052,123422.81638062224,593247.817761818
-67.47171585037398,89.11123565146028,75.84775874355901,83.59428479140496,883905.7573794652,966247.0384451386
145.16630533622902,160.6369627536465,50.32399486948546,67.2850738385619,487711.8253943577,559925.4961714732
154.7469016475814,157.39496049069348,53.57139211952028,66.28702402856983,814148.2446791225,822676.4341404971
86.66052337283412,158.741576315149,-65.79858766853557,-3.756188656599001,70507.72425889396,196170.46843183518
-33.960857463817234,123.43662098022918,-57.60257262821615,24.470493486248714,162503.01370351328,776523.7537632216
-18.95931727821852,19.159698551790484,-28.145867253758595,53.145303317879,164119.82881192298,492470.6704035045
23.67391082933821,102.24321754096455,-62.475331600706625,54.68171585103026,779896.0292933562,859770.7205574763
155.31279197483542,157.858816551194,-85.58926763271221,-53.501167685226314,5530.337930072959,158734.25348372085
-114.51366808235927,2.9596232817488755,9.249129045757257,23.402806884031286,311490.98776155716,906891.1949518286
-101.24655895996656,47.1890890314024,55.605185509071646,84.03057451839004,288267.2191530672,539594.8615939793
56.28559986877568,151.88065526076468,-30.317581538042894,72.86071345105302,623492.191482203,654609.2710276507
17.032723257242253,94.4436267479232,49.05014628016664,55.12408908312702,564820.2646593205,849578.4376243828
-92.52073831486193,-42.788613750303576,71.15975740490293,74.6069251900798,545187.9223964827,996126.2928361327
76.26650705145892,124.21778444298434,-63.363269582390345,-30.470340918668448,217541.76722973373,562757.5984039237
142.54192997954038,148.70305905849628,-35.66961141365493,-2.041726212816158,612008.2370804702,749307.540647242
-55.139444571592534,169.05311127091863,-31.87183136553785,18.22613650971634,1367.39976785627,304616.12466618314
